work_id,year,citation_count
W4327947795,2024,37
W4327956269,2023,6
W4327956269,2024,14
W4353083901,2024,2
W4360613770,2023,3
W4360613770,2024,10
W4360615597,2023,29
W4360615597,2024,24
W4360618510,2023,9
W4360618510,2024,23
W4360856932,2023,11
W4360856932,2024,37
W4360860178,2024,5
W4360939579,2024,1
W4360950022,2023,7
W4360950022,2024,15
W4360980642,2023,19
W4360980642,2024,83
W4360980683,2023,1
W4360980683,2024,3
W4360985351,2023,5
W4360985351,2024,18
W4360985733,2023,8
W4360985733,2024,11
W4361221423,2023,2
W4361221423,2024,4
W4362475747,2023,3
W4362475747,2024,2
W4362555628,2023,3
W4362555628,2024,2
W4362579589,2023,28
W4362579589,2024,92
W4362670371,2023,2
W4362670371,2024,3
W4362724099,2023,22
W4362724099,2024,110
W4362735525,2023,2
W4362735525,2024,6
W4363648864,2023,10
W4363648864,2024,22
W4364376005,2023,8
W4364376005,2024,8
W4365139618,2023,1
W4365139618,2024,4
W4365141696,2023,3
W4365141696,2024,5
W4365145108,2023,3
W4365145108,2024,11
W4365816810,2023,1
W4365816810,2024,4
W4366091323,2023,19
W4366091323,2024,122
W4366123788,2023,2
W4366123788,2024,11
W4366248980,2023,2
W4366248980,2024,1
W4366336804,2023,6
W4366336804,2024,9
W4366392262,2023,3
W4366392262,2024,9
W4366400965,2023,1
W4366400965,2024,1
W4366411592,2024,6
W4366415332,2024,1
W4366426214,2023,1
W4366426214,2024,1
W4366687390,2023,2
W4366687390,2024,12
W4366816030,2023,2
W4366816030,2024,8
W4366975001,2023,3
W4366975001,2024,6
W4366983521,2023,8
W4366983521,2024,28
W4367040485,2023,1
W4367040485,2024,3
W4367299072,2023,3
W4367299072,2024,6
W4367368475,2024,15
W4367394292,2023,1
W4367394292,2024,8
W4367394653,2023,1
W4367609788,2024,3
W4367623968,2022,1
W4367623968,2023,5
W4367623968,2024,20
W4368368712,2024,2
W4368617646,2023,2
W4368617646,2024,2
W4376616984,2023,1
W4376616984,2024,6
W4376648259,2023,2
W4376648259,2024,8
W4377098461,2024,5
W4377145631,2023,4
W4377145631,2024,23
W4377290775,2023,12
W4377290775,2024,10
W4378416796,2023,5
W4378416796,2024,3
W4378807643,2024,3
W4379137572,2023,2
W4379137572,2024,7
W4379184928,2023,2
W4379184928,2024,3
W4379209201,2023,1
W4379209201,2024,4
W4379364212,2023,6
W4379364212,2024,15
W4379799065,2023,16
W4379799065,2024,16
W4380360151,2024,8
W4380538220,2023,1
W4380538220,2024,8
W4380562659,2023,2
W4380562659,2024,1
W4380591126,2023,2
W4380591126,2024,25
W4380611437,2024,4
W4380887019,2023,4
W4380887019,2024,15
W4381053565,2023,8
W4381053565,2024,73
W4381087276,2024,4
W4381090279,2023,2
W4381090279,2024,3
W4381093614,2023,3
W4381093614,2024,4
W4381163588,2024,3
W4381185442,2023,9
W4381185442,2024,24
W4381332380,2023,1
W4381332380,2024,5
W4381512557,2023,5
W4381512557,2024,7
W4381682084,2024,3
W4381742002,2023,7
W4381742002,2024,14
W4381805003,2024,3
W4381856118,2023,2
W4381856118,2024,7
W4381891105,2023,1
W4381891105,2024,1
W4382048741,2024,4
W4382197431,2023,1
W4382197431,2024,3
W4382202712,2023,2
W4382202712,2024,12
W4382319519,2023,3
W4382319519,2024,8
W4382335225,2024,8
W4382371735,2023,3
W4382371735,2024,8
W4382698960,2024,1
W4382810982,2024,1
W4382811166,2023,2
W4382811166,2024,13
W4382895266,2023,1
W4382895266,2024,5
W4383560003,2024,2
W4383620526,2023,4
W4383620526,2024,6
W4383721094,2023,3
W4383721094,2024,10
W4383913283,2024,2
W4384067368,2023,11
W4384067368,2024,8
W4384069115,2023,2
W4384069115,2024,2
W4384197612,2023,3
W4384197612,2024,11
W4384405814,2023,1
W4384405814,2024,6
W4384817948,2024,1
W4384822078,2023,2
W4384822078,2024,3
W4384823618,2023,4
W4384823618,2024,3
W4384823934,2024,3
W4384934896,2023,1
W4384934896,2024,10
W4385156725,2024,2
W4385224798,2024,3
W4385349476,2023,4
W4385349476,2024,7
W4385364879,2022,3
W4385364879,2023,20
W4385364879,2024,17
W4385566558,2023,1
W4385566558,2024,3
W4385582962,2024,10
W4385606791,2024,13
W4385614039,2024,9
W4385700994,2024,2
W4385728692,2024,4
W4385737858,2024,3
W4385768685,2023,2
W4385768685,2024,3
W4385876747,2023,1
W4385876747,2024,2
W4386028223,2023,1
W4386028223,2024,16
W4386099197,2024,2
W4386136748,2024,6
W4386286693,2023,1
W4386287756,2023,2
W4386287756,2024,8
W4386391043,2023,11
W4386391043,2024,118
W4386391908,2024,1
W4386416915,2023,2
W4386416915,2024,2
W4386422408,2023,1
W4386422408,2024,6
W4386510526,2024,1
W4386517577,2024,3
W4386519770,2024,1
W4386526498,2024,2
W4386572626,2024,5
W4386636345,2023,1
W4386636345,2024,3
W4386689048,2023,1
W4386689048,2024,5
W4386724211,2023,1
W4386724211,2024,1
W4386776484,2024,5
W4386804684,2024,1
W4386847093,2021,1
W4386847093,2024,4
W4386862683,2024,5
W4386980375,2024,1
W4386991635,2024,9
W4387020096,2024,8
W4387020117,2024,2
W4387104424,2024,1
W4387140882,2024,6
W4387306238,2024,2
W4387338457,2023,8
W4387338457,2024,21
W4387342382,2024,2
W4387371722,2023,1
W4387371722,2024,1
W4387372193,2023,1
W4387372193,2024,14
W4387405999,2023,2
W4387405999,2024,2
W4387536504,2024,3
W4387673491,2024,2
W4387735499,2024,1
W4387743441,2024,10
W4387844912,2023,1
W4387844912,2024,5
W4387938956,2023,1
W4387938956,2024,4
W4387971125,2024,2
W4387972140,2024,5
W4388085316,2024,2
W4388185627,2024,5
W4388377845,2023,2
W4388377845,2024,13
W4388377850,2024,1
W4390343183,2024,17
W4390502602,2023,2
W4390502602,2024,21
W4390538319,2024,6
W4390588308,2024,13
W4390607542,2024,8
W4390612591,2024,1
W4390619754,2024,2
W4390638660,2024,1
W4390650730,2024,28
W4390664173,2024,2
W4390698144,2024,1
W4390700611,2024,7
W4390755696,2024,1
W4390974023,2024,2
W4391052842,2024,2
W4391218191,2024,7
W4391317914,2024,8
W4391321561,2023,1
W4391321561,2024,6
W4391345988,2024,3
W4391360895,2024,5
W4391392562,2024,2
W4391420283,2024,1
W4391427613,2024,5
W4391485390,2024,1
W4391509716,2024,1
W4391509766,2024,4
W4391514619,2024,3
W4391514718,2024,1
W4391514872,2024,53
W4391538100,2024,1
W4391540015,2024,5
W4391541001,2024,14
W4391541206,2024,1
W4391576353,2024,8
W4391645416,2024,1
W4391654576,2024,1
W4391679033,2024,1
W4391693774,2024,2
W4391738567,2024,14
W4391749941,2024,2
W4391750002,2024,1
W4391750982,2024,11
W4391774550,2024,7
W4391782448,2024,1
W4391799681,2024,4
W4391815309,2024,1
W4391815608,2024,7
W4391816773,2024,2
W4391836500,2024,3
W4391839537,2024,5
W4391843091,2024,3
W4391843683,2024,1
W4391881477,2024,16
W4391915341,2024,6
W4391931465,2024,15
W4391942283,2023,4
W4391942283,2024,28
W4391947388,2024,7
W4391953812,2024,4
W4391965926,2024,3
W4392048306,2024,2
W4392077456,2024,2
W4392095605,2024,1
W4392098390,2024,2
W4392109529,2024,1
W4392160106,2024,5
W4392238943,2023,1
W4392238943,2024,6
W4392298624,2023,1
W4392298624,2024,2
W4392356648,2024,9
W4392385305,2024,4
W4392387106,2024,3
W4392401953,2024,2
W4392545523,2024,2
W4392620581,2024,3
W4392656047,2024,6
W4392683354,2024,11
W4392755978,2024,1
W4392817605,2024,2
W4392865184,2024,6
W4392896772,2024,7
W4392953330,2024,4
W4393115804,2024,3
W4393115836,2024,26
W4393115925,2024,36
W4393232293,2024,3
W4393281585,2024,2
W4393316745,2024,9
W4393343355,2024,2
W4393354793,2024,7
W4393385749,2024,1
W4393387322,2024,2
W4393397186,2024,1
W4393509883,2024,1
W4393928775,2024,6
W4393983860,2024,2
W4394724000,2024,1
W4394760969,2023,1
W4394760969,2024,3
W4394784587,2024,2
W4394785854,2024,2
W4394788526,2024,3
W4394797690,2024,1
W4394927283,2024,3
W4395046137,2024,13
W4395047770,2024,5
W4395070930,2024,2
W4395115917,2024,14
W4395462076,2024,7
W4396238295,2024,3
W4396578638,2024,3
W4396585666,2024,1
W4396618297,2024,3
W4396623743,2024,8
W4396696684,2024,1
W4396773505,2024,13
W4396778191,2024,1
W4396916335,2024,8
W4396955095,2024,1
W4396975530,2024,1
W4398216873,2024,3
W4398243979,2024,1
W4399033024,2024,2
W4399033842,2024,1
W4399138486,2024,7
W4399189200,2024,3
W4399247252,2024,1
W4399265026,2024,1
W4399370694,2024,1
W4399384347,2024,2
W4399390955,2024,1
W4399508110,2024,2
W4399514805,2024,6
W4399528666,2024,1
W4399647325,2024,2
W4399647329,2024,1
W4399750638,2023,3
W4399750638,2024,9
W4399906580,2024,1
W4400057092,2024,2
W4400241414,2024,1
W4400261301,2024,3
W4400369674,2024,1
W4400454376,2024,1
W4400507813,2024,1
W4400607621,2024,2
W4400695119,2024,1
W4400895761,2024,1
W4400921784,2024,6
W4401011076,2024,3
W4401016008,2024,2
W4401179606,2024,1
W4401375515,2024,1
