id,name,affiliation
A5087256235,Alana de Santana Correia,"Laboratory of Robotics and Cognitive Systems (LaRoCS), Institute of Computing, University of Campinas, Av. Albert Einstein, 1251, Campinas, SP, Brazil"
A5088902167,Ala’a H. Al‐Muhtaseb,"Department of Petroleum & Chemical Engineering, College of Engineering, Sultan Qaboos University, P.O. Box 33, P.C. 123, Al-Khod, Muscat, Sultanate of Oman"
A5086940709,Alberto Bugarín,"Centro Singular de Investigación en Tecnoloxías Intelixentes, Universidade de Santiago de Compostela, 15782, Santiago de Compostela, Spain"
A5078441040,Alberto Castellini,"Department of Computer Science, University of Verona, Strada Le Grazie 15, 37134, Verona, Italy"
A5090921348,Alberto Fernández,"Department of Computer Science and Artificial Intelligence, University of Granada, Granada, Spain"
A5085644838,Alejandro Campoy-Nieves,"Department of Computer Science and Artificial Intelligence, Universidad de Granada, 18071, Granada, Spain"
A5071787646,Alejandro Morales-Hernández,"Faculty of Sciences, Hasselt University, Hasselt, Belgium"
A5015908424,Alejandro Moya,"LoUISE Research Group, Computing Systems Department, University of Castilla-La Mancha, Avda. España s/n, 02071, Albacete, Spain"
A5006332127,Alejandro Pazos,"CITIC, Research Center of Information and Communication Technologies, Universidade da Coruña, 15071, A Coruña, Spain"
A5091489915,Alejandro Valencia-Arías,"School of Industrial Engineering, Universidad Señor de Sipán, 14001, Chiclayo, Peru"
A5045922629,Alessandro Farinelli,"Department of Computer Science, University of Verona, Strada Le Grazie 15, 37134, Verona, Italy"
A5087201377,Alex A. Freitas,"School of Computing, University of Kent, Canterbury, UK"
A5039096815,Alexander F. Kolen,"Philips Research, Eindhoven, The Netherlands"
A5064535836,Alexandros Iosifidis,"DIGIT, Department of Electrical and Computer Engineering, Aarhus University, Finlandsgade 22, 8200, Århus, Denmark"
A5112353924,Alexandru Paul Condurache,"Cross Domain Computing Solutions, Robert Bosch GmbH, Stuttgart, Germany"
A5112353924,Alexandru Paul Condurache,"Automated Driving Research, Robert Bosch GmbH, Burgenlandstraße 44, 70469, Stuttgart, Germany"
A5083259460,Alhamzah Alnoor,"School of Management, Universiti Sains Malaysia, Pulau Pinang, Malaysia"
A5046327670,Ali Akbar Shaikh,"Department of Mathematics, The University of Burdwan, Burdwan, India"
A5005831779,Ali Anaissi,"School of Computer Science, The University of Sydney, Sydney, Australia"
A5028441474,Ali Asghar Heidari,"School of Surveying and Geospatial Engineering, College of Engineering, University of Tehran, Tehran, Iran"
A5081500824,Ali Behnood,"Indiana Department of Transportation, Crawfordsville District, Crawfordsville, IN, USA"
A5073221047,Ali Ben Abbes,"RIADI Laboratory, National School of Computer Science, Manouba, Tunisia"
A5019458870,Ali Darvish Falehi,"Department of Electrical Engineering, Shahid Beheshti University, Tehran, Iran"
A5084703478,Ali Daud,"Faculty of Resilience, Rabdan Academy, Abu Dhabi, United Arab Emirates"
A5057599587,Ali Ebrahimi Ghahnavieh,"Department of Management, College of Entrepreneurship, University of Tehran, Tehran, Iran"
A5000218612,Ali Idri,"Faculty of Medical Sciences, Mohammed VI Polytechnic University (UM6P), Ben Guerir, Morocco"
A5000218612,Ali Idri,"Faculty of Medical Sciences, Mohammed VI Polytechnic University (FMS-UM6P), Ben Guerir, Marrakech-Safi, Morocco"
A5010789167,Ali Najah Ahmed,"Institute of Energy Infrastructure (IEI) and Department of Civil Engineering, College of Engineering, Universiti Tenaga Nasional (UNITEN), 43000, Selangor, Malaysia"
A5057176691,Ali Rıza Yıldız,"Automotive Engineering Department, Uludağ University, Görükle, Bursa, Turkey"
A5057176691,Ali Rıza Yıldız,
A5046987655,Ali Zia,"Biological Data Science Institute, Australian National University, 46 Sullivans Creek Rd, Acton, ACT, 2601, Australia"
A5024234396,Alina L. Machidon,"Faculty of Computer and Information Science, University of Ljubljana, Večna pot 113, Ljubljana, Slovenia"
A5035740629,Aline Marques Del Valle,"Department of Computer Science, Federal University of São Carlos, Rodovia Washington Luís, km 235, São Carlos, SP, Brazil"
A5074487575,Alireza Bagheri,"Department of Computer Engineering, Amirkabir University of Technology (Tehran Polytechnic), Tehran, Iran"
A5012796713,Alireza Bosaghzadeh,"Shahid Rajaee Teacher Training University, Tehran, Iran"
A5019877221,Alireza Daeijavad,"Department of Electrical and Computer Engineering, Isfahan University of Technology, Isfahan, Iran"
A5050089569,Alireza Ghorbanali,"Department of Computer Engineering, Semnan Branch, Islamic Azad University, Semnan, Iran"
A5043720844,Alireza Sotoudeh-Anvari,"Department of Industrial Engineering, Science and Research Branch, Islamic Azad University, Tehran, Iran"
A5084119748,Alma Rodríguez,"Departamento de Electrónica y Computación, Universidad de Guadalajara, Guadalajara, Mexico"
A5100660168,Alok Mishra,
A5103152848,Alok Negi,"Department of Computer Science and Engineering, National Institute of Technology Uttarakhand, Srinagar Garhwal, Uttarakhand, 246174, India"
A5060926543,Alper Murat,"Department of Industrial and Systems Engineering, Wayne State University, Detroit, MI, 48202, USA"
A5042192633,Alwi M. Bamhdi,"Department of Computer Sciences, College of Computing, Al Qunfudhah, Umm Al-Qura University, Makkah, Saudi Arabia"
A5075063043,Alya A. Arabi,"College of Medicine and Health Sciences, Department of Biochemistry and Molecular Biology, United Arab Emirates University, P. O. Box: 15551, Al Ain, United Arab Emirates"
A5029214477,Alí­pio Jorge,"LIAAD, INESC TEC, Rua Dr. Roberto Frias, Porto, 4200-465, Porto, Portugal"
A5044593572,Amalesh Kumar Manna,"Department of Mathematics, C. V. Raman Global University, Bhubaneswar, India"
A5101916375,Aman Singh,"Department of Computational Intelligence, School of Computing, SRM Institute of Science and Technology, Kattankulathur, Chennai, Tamil Nadu, India"
