work_id,author_id,position
W4224013576,A5028915945,middle
W4224013576,A5038777959,first
W4224013576,A5042192633,last
W4224013576,A5042993941,middle
W4224035554,A5022019509,middle
W4224035554,A5029673504,last
W4224035554,A5052554302,middle
W4224035554,A5058127499,first
W4224035554,A5088956982,middle
W4224037847,A5010914146,last
W4224037847,A5045234607,middle
W4224037847,A5074991726,first
W4224082478,A5007087808,middle
W4224082478,A5039352999,middle
W4224082478,A5058835905,first
W4224082478,A5101109689,middle
W4224082478,A5101428329,middle
W4224082478,A5103277171,last
W4224213141,A5012437460,middle
W4224213141,A5028945060,last
W4224213141,A5035130305,first
W4224243673,A5029049593,first
W4224243673,A5034744347,middle
W4224243673,A5036112939,middle
W4224243673,A5075720969,last
W4224248396,A5031576307,middle
W4224248396,A5043486930,last
W4224248396,A5064721860,first
W4224248396,A5101372313,middle
W4224437581,A5005953358,middle
W4224437581,A5008082871,last
W4224437581,A5013758736,middle
W4224437581,A5069969191,middle
W4224437581,A5070517330,first
W4225277427,A5019886356,first
W4225277427,A5048351097,middle
W4225277427,A5068628314,last
W4225277427,A5087022976,middle
W4225277427,A5100351506,middle
W4225294432,A5027312639,middle
W4225294432,A5028543826,first
W4225294432,A5037279956,last
W4225294432,A5078914416,middle
W4225294432,A5079036376,middle
W4225821329,A5046960881,first
W4226062099,A5061997668,first
W4226083961,A5046605531,last
W4226083961,A5048649183,first
W4226083961,A5055478558,middle
W4226083961,A5057732142,middle
W4226083961,A5063285882,middle
W4226083961,A5076130415,middle
W4226181943,A5031905501,middle
W4226181943,A5033105117,middle
W4226181943,A5074405661,first
W4226181943,A5085245110,last
W4226181943,A5100455568,middle
W4226181943,A5100617962,middle
W4226181943,A5101620547,middle
W4226322152,A5063696855,last
W4226322152,A5085555898,first
W4226322152,A5106626932,middle
W4226424013,A5020767969,last
W4226424013,A5040180867,first
W4226424013,A5057416382,middle
W4226424013,A5068920468,middle
W4226424013,A5101978937,middle
W4226424035,A5010599294,first
W4226424035,A5017626590,last
W4226424035,A5066140774,middle
W4226459955,A5078291766,first
W4229012814,A5013311390,last
W4229012814,A5037882098,middle
W4229012814,A5047234347,first
W4229442263,A5020327006,middle
W4229442263,A5022377161,middle
W4229442263,A5069019252,first
W4229442263,A5069487101,middle
W4229442263,A5070662893,last
W4229442263,A5108013133,middle
W4280491585,A5036009160,middle
W4280491585,A5057176691,last
W4280491585,A5077769694,middle
W4280491585,A5089488145,first
W4280508892,A5001270995,first
W4280508892,A5058393355,last
W4280525177,A5005829949,last
W4280525177,A5011284774,first
W4280541407,A5000475040,last
W4280541407,A5016753319,middle
W4280541407,A5036347319,first
W4280582114,A5046969928,first
W4280582114,A5062049368,last
W4280590401,A5031220156,last
W4280590401,A5054337797,middle
W4280590401,A5055297909,middle
W4280590401,A5058042445,first
W4280590401,A5100616362,middle
W4280649903,A5001440837,middle
W4280649903,A5020546469,last
W4280649903,A5021679576,middle
W4280649903,A5034818449,middle
W4280649903,A5056204391,first
W4281262808,A5014398832,last
W4281262808,A5038308708,first
W4281286562,A5055767872,first
W4281286562,A5083584816,last
W4281399117,A5025747161,first
W4281399117,A5101666881,last
W4281663336,A5023403556,last
W4281663336,A5032090996,first
W4281663336,A5049064037,middle
W4281663336,A5062101109,middle
W4281703385,A5027571327,first
