work_id,referenced_work_id
W3113149630,W2148753087
W3113149630,W2159727905
W3113149630,W2247119764
W3113149630,W2282821441
W3113149630,W2320648065
W3113149630,W238001728
W3113149630,W2427182019
W3113149630,W2511805592
W3113149630,W2521274174
W3113149630,W2530887700
W3113149630,W2547729384
W3113149630,W2556838012
W3113149630,W2577190375
W3113149630,W2618530766
W3113149630,W2738790068
W3113149630,W2752099845
W3113149630,W2766447205
W3113149630,W2766557762
W3113149630,W2798872050
W3113149630,W2891585150
W3113149630,W2896833840
W3113149630,W2912140446
W3113149630,W2914607694
W3113149630,W2915648537
W3113149630,W2917286209
W3113149630,W2919115771
W3113149630,W2930003055
W3113149630,W2948363599
W3113149630,W2950246755
W3113149630,W2951124598
W3113149630,W2953388933
W3113149630,W2962875487
W3113149630,W2962924847
W3113149630,W2963277062
W3113149630,W2963305465
W3113149630,W2963382544
W3113149630,W2963403868
W3113149630,W2963572185
W3113149630,W2963687836
W3113149630,W2963907629
W3113149630,W2964031560
W3113149630,W2964153729
W3113149630,W2964194917
W3113149630,W2965972931
W3113149630,W2966062579
W3113149630,W2971044234
W3113149630,W2983484109
W3113149630,W2984219911
W3113149630,W2995359496
W3113149630,W2995679616
W3113149630,W2995981731
W3113149630,W2997090216
W3113149630,W2997359684
W3113149630,W2998412226
W3113149630,W3005742798
W3113149630,W3032136009
W3113149630,W3035841787
W3113149630,W3036143115
W3113149630,W3037471945
W3113149630,W3042107226
W3113149630,W3046215811
W3113149630,W3085376664
W3113149630,W3106054366
W3113149630,W3108435811
W3113149630,W3121926921
W3113149630,W3175825524
W3113149630,W3200255461
W3113149630,W4206647573
W3113149630,W4220920052
W3113149630,W4221155892
W3113149630,W4229376579
W3113149630,W4246787115
W3113149630,W4247696516
W3113149630,W4300668030
W3113149630,W4300999134
W3113149630,W4306311932
W3113149630,W4312897400
W3113149630,W4318350868
W3113149630,W645876618
W3120390034,W1480527676
W3120390034,W1494198834
W3120390034,W1498717522
W3120390034,W1515851193
W3120390034,W1542941925
W3120390034,W1584761227
W3120390034,W1598796236
W3120390034,W1635512741
W3120390034,W1681299129
W3120390034,W175750906
W3120390034,W1771410628
W3120390034,W1828163288
W3120390034,W1949804828
W3120390034,W1968962398
W3120390034,W1969074734
W3120390034,W1983108229
W3120390034,W1993567041
W3120390034,W1995562189
W3120390034,W1999874108
W3120390034,W2024083195
W3120390034,W2024490156
W3120390034,W2042390666
W3120390034,W2047335008
W3120390034,W2064675550
W3120390034,W2099471712
W3120390034,W2105921478
W3120390034,W2108703536
W3120390034,W2114199242
W3120390034,W2117448986
W3120390034,W2119717200
W3120390034,W2129670787
W3120390034,W2130942839
W3120390034,W2131774270
W3120390034,W2132555391
W3120390034,W2132997613
W3120390034,W2139053308
W3120390034,W2140072035
W3120390034,W2145339207
W3120390034,W2146334809
W3120390034,W2147800946
W3120390034,W2150468603
W3120390034,W2153385324
W3120390034,W2155968351
W3120390034,W2157331557
W3120390034,W2160815625
W3120390034,W2161850243
W3120390034,W2163068732
W3120390034,W2163605009
W3120390034,W2166637769
W3120390034,W2168490009
W3120390034,W2173564293
W3120390034,W2195446438
W3120390034,W2229480318
W3120390034,W2250357346
W3120390034,W2251058040
W3120390034,W2257979135
W3120390034,W2289394825
W3120390034,W2291522532
W3120390034,W2294065713
W3120390034,W2295119550
W3120390034,W2296167893
W3120390034,W2316138215
W3120390034,W2327501763
W3120390034,W2328988907
W3120390034,W2341171179
W3120390034,W2342475039
